country,date,deficit_gdp
IT,2015-07-01,-1.7
IT,2015-10-01,0.2
NL,2008-01-01,0.9
NL,2008-04-01,-1.6
NL,2008-07-01,-1.5
NL,2008-10-01,1.9
NL,2009-01-01,-2.4
NL,2009-04-01,-5.9
NL,2009-07-01,-7.7
NL,2009-10-01,-4.3
NL,2010-01-01,-3.9
NL,2010-04-01,-6.6
NL,2010-07-01,-8.3
NL,2010-10-01,-2.4
NL,2011-01-01,-1.5
NL,2011-04-01,-6.7
NL,2011-07-01,-5.9
NL,2011-10-01,-3.6
NL,2012-01-01,-0.4
NL,2012-04-01,-5.7
NL,2012-07-01,-7
NL,2012-10-01,-2.4
NL,2013-01-01,0.6
NL,2013-04-01,-4.1
NL,2013-07-01,-5.3
NL,2013-10-01,-2.7
NL,2014-01-01,0
NL,2014-04-01,-3.8
NL,2014-07-01,-3.9
NL,2014-10-01,-1
NL,2015-01-01,1.1
NL,2015-04-01,-3.7
NL,2015-07-01,-3.8
NL,2015-10-01,-0.8
AT,2008-01-01,-3.4
AT,2008-04-01,-1.2
AT,2008-07-01,-1.2
AT,2008-10-01,-0.6
AT,2009-01-01,-5.4
AT,2009-04-01,-4.7
AT,2009-07-01,-5.8
AT,2009-10-01,-5.6
AT,2010-01-01,-7.7
AT,2010-04-01,-3.6
AT,2010-07-01,-5
AT,2010-10-01,-2
AT,2011-01-01,-4.5
AT,2011-04-01,-2.1
AT,2011-07-01,-0.7
AT,2011-10-01,-2.7
AT,2012-01-01,-5
AT,2012-04-01,-2.1
AT,2012-07-01,-0.8
AT,2012-10-01,-1
AT,2013-01-01,-5
AT,2013-04-01,-1.7
AT,2013-07-01,0.6
AT,2013-10-01,-2
AT,2014-01-01,-4.8
AT,2014-04-01,-1.6
AT,2014-07-01,1.4
AT,2014-10-01,-2.8
AT,2015-01-01,-3.7
AT,2015-04-01,-0.3
AT,2015-07-01,1.7
AT,2015-10-01,0.3
PT,2008-01-01,-1.3
PT,2008-04-01,-0.8
PT,2008-07-01,-7.7
PT,2008-10-01,-5.3
PT,2009-01-01,-7.9
PT,2009-04-01,-11.7
PT,2009-07-01,-5.9
PT,2009-10-01,-13.8
PT,2010-01-01,-8.3
PT,2010-04-01,-11.5
PT,2010-07-01,-6.5
PT,2010-10-01,-19.1
PT,2011-01-01,-6.9
PT,2011-04-01,-9.7
PT,2011-07-01,-3.1
PT,2011-10-01,-11.1
PT,2012-01-01,-7.3
PT,2012-04-01,-7.4
PT,2012-07-01,-3.3
PT,2012-10-01,-6.8
PT,2013-01-01,-9.5
PT,2013-04-01,-4.4
PT,2013-07-01,-3.4
PT,2013-10-01,-3.8
PT,2014-01-01,-5.6
PT,2014-04-01,-6.8
PT,2014-07-01,-14
PT,2014-10-01,-2.8
PT,2015-01-01,-5.9
PT,2015-04-01,-3.9
PT,2015-07-01,-1.3
PT,2015-10-01,-6.9
