Variable,debt_gdp,deficit_gdp,gdp_growth,unemployment,inflation,bond_yield,spread_bps
debt_gdp,1,-0.137,-0.156,0.564,-0.208,0.494,0.609
deficit_gdp,-0.137,1,0.239,-0.37,0.161,-0.343,-0.288
gdp_growth,-0.156,0.239,1,-0.167,-0.095,-0.427,-0.35
unemployment,0.564,-0.37,-0.167,1,-0.306,0.496,0.579
inflation,-0.208,0.161,-0.095,-0.306,1,0.122,0.007
bond_yield,0.494,-0.343,-0.427,0.496,0.122,1,0.959
spread_bps,0.609,-0.288,-0.35,0.579,0.007,0.959,1
