term,estimate,std.error,statistic,p.value
(Intercept),1078.79,1138.51,0.95,0.35
debt_gdp,-22.07,11.5,-1.92,0.07
unemployment,141.19,35.23,4.01,0
time_trend,0.95,32.33,0.03,0.98
crisis_period,1039.11,212.58,4.89,0
