country,n_quarters_in_program,total_amount_billion,avg_spread_in_program,max_spread_in_program,avg_debt_in_program,avg_unemployment
Greece,23,274.5,1179.03,3298.67,166.85,22.72
Ireland,13,67.5,466.62,791.67,110.81,14.3
Portugal,13,78,668.99,1139,125.64,14.88
Spain,7,100,331,507.23,95.26,25.74
