Variable,n,mean,sd,median,min,max,skew,kurtosis
Debt-to-GDP (%),288,94.77,32.8,86.3,26.4,184.1,0.68,0.12
Deficit-to-GDP (%),288,-5.71,5.92,-4.8,-41.6,2,-2.37,9.6
GDP Growth (%),288,-0,4.18,0.4,-8.9,32.4,3.4,24.25
Unemployment (%),288,11.02,6.4,9.4,2.7,27.6,1.08,0.26
Inflation (%),288,1.42,1.55,1.35,-2.77,5.6,-0.01,-0.21
Bond Yield (%),288,4.46,3.93,3.85,0.31,34.82,3.67,19.61
Sovereign Spread (bps),288,229.56,393.31,76.97,0,3298.67,3.97,20.97
ECB Rate (%),288,1.07,1.11,1,0.05,4.25,1.77,2.44
