country,PC1,PC2,PC3
Austria,0.321,0.517,-0.174
France,0.391,0.063,0.276
Greece,0.367,-0.288,0.007
Ireland,0.321,-0.073,-0.83
Italy,0.388,-0.146,0.315
Netherlands,0.265,0.7,0.154
Portugal,0.391,-0.223,-0.119
Spain,0.365,-0.283,0.261
