period,country_group,n_obs,debt_gdp,deficit_gdp,gdp_growth,unemployment,spread_bps
Crisis,Core,64,76.07,-4.19,0.19,6.2,42.94
Pre-Crisis,Core,16,61.69,-1.37,0.64,5.36,21.7
Recovery,Core,48,80.7,-1.92,0.81,6.87,28.14
Crisis,GIIPS,80,104.04,-10.37,-2.33,14.33,514.49
Pre-Crisis,GIIPS,20,71.42,-5.66,-0.62,7.87,61.28
Recovery,GIIPS,60,130.21,-5.32,2.27,17.62,321.36
