country_group,n_obs,debt_gdp_mean,debt_gdp_sd,deficit_gdp_mean,deficit_gdp_sd,gdp_growth_mean,gdp_growth_sd,unemployment_mean,unemployment_sd,spread_mean,spread_sd,spread_max
Core,128,76.01,12.27,-2.98,2.89,0.48,2.15,6.34,2.18,34.73,30.28,135
GIIPS,160,109.77,36.22,-7.88,6.77,-0.39,5.24,14.76,6.21,385.42,472.75,3298.67
