Country,Austria,France,Germany,Greece,Ireland,Italy,Netherlands,Portugal,Spain
Austria,1,0.792,NA,0.621,0.611,0.629,0.796,0.644,0.487
France,0.792,1,NA,0.867,0.624,0.939,0.66,0.896,0.842
Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greece,0.621,0.867,NA,1,0.679,0.87,0.335,0.935,0.82
Ireland,0.611,0.624,NA,0.679,1,0.648,0.433,0.82,0.661
Italy,0.629,0.939,NA,0.87,0.648,1,0.554,0.93,0.956
Netherlands,0.796,0.66,NA,0.335,0.433,0.554,1,0.462,0.447
Portugal,0.644,0.896,NA,0.935,0.82,0.93,0.462,1,0.896
Spain,0.487,0.842,NA,0.82,0.661,0.956,0.447,0.896,1
